# Force and moment coefficients
# dragDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# sideDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (0.000000e+00 0.000000e+00 1.000000e+00)
# pitchAxis   : (1.000000e+00 0.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.500000e-01
# Aref        : 4.000000e-03
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.000963822   	-3.715694e-01	-2.213362e-01	-1.502332e-01	-6.317114e-02	-3.176235e-02	-3.140880e-02	-1.767755e-04	-3.555155e-02	1.980413e-01	-8.392087e-03	1.938453e-01	-2.022374e-01
0.00202082    	-3.578700e-01	-2.244948e-01	-1.333753e-01	-8.301946e-02	-5.041992e-02	-3.259954e-02	-8.910191e-03	-4.555976e-02	1.900395e-01	-7.949730e-03	1.860647e-01	-1.940144e-01
0.0029194     	-3.574538e-01	-2.260374e-01	-1.314164e-01	-8.704862e-02	-5.572219e-02	-3.132644e-02	-1.219788e-02	-4.731052e-02	1.900828e-01	-7.911313e-03	1.861272e-01	-1.940385e-01
0.00398113    	-3.445661e-01	-2.263702e-01	-1.181958e-01	-9.905123e-02	-6.556079e-02	-3.349044e-02	-1.603517e-02	-5.408720e-02	1.838242e-01	-7.427232e-03	1.801106e-01	-1.875378e-01
0.00504557    	-3.344594e-01	-2.270157e-01	-1.074437e-01	-1.088919e-01	-7.336992e-02	-3.552201e-02	-1.892396e-02	-5.978601e-02	1.793842e-01	-6.827984e-03	1.759702e-01	-1.827982e-01
0.00603143    	-3.260631e-01	-2.269864e-01	-9.907673e-02	-1.159477e-01	-7.846501e-02	-3.748265e-02	-2.049118e-02	-6.395481e-02	1.757073e-01	-6.091810e-03	1.726614e-01	-1.787532e-01
0.00699808    	-3.212704e-01	-2.263270e-01	-9.494337e-02	-1.191788e-01	-8.081346e-02	-3.836530e-02	-2.122408e-02	-6.569184e-02	1.739627e-01	-5.677778e-03	1.711239e-01	-1.768016e-01
0.007959      	-3.155601e-01	-2.294833e-01	-8.607689e-02	-1.300143e-01	-8.774703e-02	-4.226724e-02	-2.273989e-02	-7.170318e-02	1.715011e-01	-5.405237e-03	1.687984e-01	-1.742037e-01
0.00905837    	-3.103555e-01	-2.218793e-01	-8.847622e-02	-1.211669e-01	-8.181376e-02	-3.935315e-02	-2.123031e-02	-6.670153e-02	1.691797e-01	-4.926531e-03	1.667165e-01	-1.716430e-01
0.0100505     	-3.057778e-01	-2.202485e-01	-8.552938e-02	-1.221253e-01	-8.230041e-02	-3.982484e-02	-2.123778e-02	-6.735955e-02	1.670178e-01	-4.703811e-03	1.646659e-01	-1.693697e-01
0.0110518     	-3.008649e-01	-2.184171e-01	-8.244787e-02	-1.226929e-01	-8.241813e-02	-4.027476e-02	-2.107168e-02	-6.798460e-02	1.646088e-01	-4.300908e-03	1.624583e-01	-1.667592e-01
0.0120506     	-2.964672e-01	-2.152342e-01	-8.123296e-02	-1.207067e-01	-8.126662e-02	-3.944008e-02	-2.091327e-02	-6.700063e-02	1.624199e-01	-3.970429e-03	1.604347e-01	-1.644051e-01
0.013025      	-2.921287e-01	-2.113198e-01	-8.080891e-02	-1.168984e-01	-7.891465e-02	-3.798375e-02	-2.046545e-02	-6.525543e-02	1.602520e-01	-3.416664e-03	1.585437e-01	-1.619603e-01
