# Force and moment coefficients
# dragDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# sideDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (0.000000e+00 0.000000e+00 1.000000e+00)
# pitchAxis   : (1.000000e+00 0.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+01
# lRef        : 1.500000e-01
# Aref        : 4.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.00100351    	-1.086780e-03	-6.061594e-04	-4.806204e-04	-5.742034e-05	-1.689798e-04	1.115594e-04	-1.402696e-04	-6.276953e-05	7.753275e-04	7.658320e-05	8.136191e-04	-7.370359e-04
0.00199747    	-1.434562e-03	-9.514238e-04	-4.831384e-04	-2.609421e-04	-4.278344e-04	1.668923e-04	-2.973633e-04	-2.341427e-04	9.812701e-04	1.510504e-04	1.056795e-03	-9.057449e-04
0.00299898    	-1.531080e-03	-1.042003e-03	-4.890772e-04	-3.077707e-04	-5.663456e-04	2.585749e-04	-4.124602e-04	-2.764630e-04	9.964573e-04	1.924243e-04	1.092669e-03	-9.002452e-04
0.00400035    	-1.549477e-03	-1.056809e-03	-4.926683e-04	-3.002683e-04	-6.485251e-04	3.482568e-04	-4.983910e-04	-2.820702e-04	9.530628e-04	2.154396e-04	1.060783e-03	-8.453430e-04
0.00500388    	-1.484560e-03	-1.012851e-03	-4.717086e-04	-2.748861e-04	-6.852385e-04	4.103524e-04	-5.477955e-04	-2.705712e-04	8.609968e-04	2.277960e-04	9.748948e-04	-7.470988e-04
0.00600748    	-1.368464e-03	-9.250873e-04	-4.433768e-04	-2.310914e-04	-6.749835e-04	4.438921e-04	-5.594378e-04	-2.408552e-04	7.482025e-04	2.219075e-04	8.591562e-04	-6.372487e-04
0.006998      	-1.213152e-03	-7.882318e-04	-4.249198e-04	-1.524678e-04	-6.083196e-04	4.558518e-04	-5.320857e-04	-1.816560e-04	6.306263e-04	1.823098e-04	7.217812e-04	-5.394714e-04
0.0080142     	-1.033219e-03	-6.546331e-04	-3.785856e-04	-9.296912e-05	-5.245599e-04	4.315908e-04	-4.780753e-04	-1.380238e-04	5.101579e-04	1.444605e-04	5.823882e-04	-4.379276e-04
0.00900951    	-8.383762e-04	-4.933526e-04	-3.450236e-04	-2.043921e-05	-4.083150e-04	3.878758e-04	-3.980954e-04	-7.416450e-05	3.996626e-04	7.963632e-05	4.394808e-04	-3.598445e-04
0.00998878    	-6.389161e-04	-3.245669e-04	-3.143492e-04	5.036519e-05	-2.771999e-04	3.275650e-04	-3.023825e-04	-5.108876e-06	2.998009e-04	5.117888e-06	3.023598e-04	-2.972419e-04
0.0110076     	-4.298311e-04	-1.565414e-04	-2.732897e-04	1.064621e-04	-1.406242e-04	2.470863e-04	-1.938552e-04	5.837417e-05	2.029971e-04	-6.625382e-05	1.698702e-04	-2.361240e-04
